,post_id,post_text,time,comments,shares,reaction_count,media,day,hour
14,664489925886882,"Giấc ngủ đóng vai trò quan trọng trong việc giúp cơ thể nghỉ ngơi, phục hồi và tái tạo năng lượng. Ngủ đủ giấc giúp cơ thể đảm bảo các hoạt động hàng ngày và giữ trạng thái tinh thần tốt. Mất ngủ khiến cơ thể uể oải, luôn trong tình trạng lờ đờ, không tỉnh táo, khó tập trung, ảnh hưởng nghiêm trọng tới chất lượng cuộc sống.

️Người mất ngủ thường xuyên hệ miễn dịch kém hơn so với người bình thường. Đáng lo ngại hơn, người bị mất ngủ kéo dài có nguy cơ cao mắc đột quỵ. Theo thống kê của Hội Đột quỵ Thế giới, những người mắc chứng mất ngủ từ 18-34 tuổi, nguy cơ này cao gấp 8 lần. Ngoài ra, mất ngủ còn làm tăng nguy cơ mắc nhiều bệnh lý nguy hiểm khác như rối loạn lo âu, suy giảm trí nhớ, trầm…",2023-11-21 12:30:45,3,9,174,1,21,12
15,664479325887942,"Sáng 21/11, Đội Cảnh sát giao thông - Trật tự (Công an TP. Bà Rịa tỉnh Bà Rịa - Vũng Tàu) cho biết, đang tiến hành xác minh thông tin vụ một chiếc ô tô nhiều lần tông vào một chiếc ô tô khác rồi cả 2 xe rời đi vào khoảng 19h ngày 20/11, tại giao lộ Nguyễn Văn Linh - Nguyễn Hữu Thọ.

Theo hình ảnh trong đoạn clip người dân ghi lại, chiếc ô tô hiệu Lexus biển số 72A-343xx quay đầu tông trực diện ôtô 5 chỗ khoảng 3 - 4 lần khiến đầu ôtô 5 chỗ bị hư hỏng, dầu nhớt trên xe chảy loang ra đường. Hai tài xế tự lái xe khỏi hiện trường.

Hiện tại, cơ quan chức năng đang xác minh chủ xe, mời lên làm việc và xử lý vụ việc theo quy định.",2023-11-21 11:15:19,10,10,685,1,21,11
16,664483765887498,Hà Nội phát hiện thêm tuýp virus gây bệnh sốt xuất huyết,2023-11-21 10:28:01,45,18,2200,1,21,10
17,664462162556325,"Tối 20/11, đại diện Sân bay Tân Sơn Nhất (quận Tân Bình, TP Hồ Chí Minh) cho biết lực lượng an ninh sân bay đã bàn giao 2 thanh niên nghi cướp giật cho đồn Công an Cảng hàng không quốc tế Tân Sơn Nhất để xử lý theo quy định.

Theo thông tin ban đầu, trưa cùng ngày, 2 thanh niên điều khiển xe máy mang BKS 59Z1-245.34 nghi là cướp giật trên đường Trường Sơn rồi bất ngờ “thông chốt” an ninh tại cổng sân bay, chạy vào làn đường ô tô hướng vào nhà ga Quốc tế.

Khi đến khu vực trước cửa nhà ga thì đâm vào phía sau một xe ô tô 7 chỗ. Xe máy và 2 thanh niên ngã ra đường, bị lực lượng an ninh sân bay và hành khách khống chế, bắt giữ.

Tại hiện trường, nhiều đồ đạc trên xe máy của 2 đối tượng rơi ra ngoài, phương tiện bị hư hỏng nhẹ. Hai thanh niên bị bắt giữ đã được bàn giao cho Công an để điều tra làm rõ nguyên nhân.",2023-11-21 09:25:51,6,10,957,1,21,9
18,664447092557832,"Ngày 20/11, thông tin từ Công an tỉnh Hà Tĩnh cho biết Hội Phụ nữ Công an tỉnh này đã nhận đỡ đầu bé Trần Nam Khánh - con trai của đại úy Trần Trung Hiếu – cán bộ Công an xã Xuân Hồng (huyện Nghi Xuân), hy sinh khi làm nhiệm vụ.
Bé trai hiện mới 10 tháng tuổi, sẽ được đỡ đầu đến năm 18 tuổi, với số tiền 12 triệu đồng/năm.
Hội Phụ nữ Công an huyện Nghi Xuân cũng nhận đỡ đầu con gái của đại úy Hiếu là bé Trần Thủy Ngân (3 tuổi) đến năm 18 tuổi, với số tiền 12 triệu đồng/năm.

Ngoài ra, những ngày lễ, tết hay đầu năm học mới, các ""mẹ đỡ đầu"" cũng sẽ chăm sóc, thăm hỏi và có quà cho các con. Việc làm này nhằm chia sẻ phần nào gánh nặng cho gia đình đại úy Trần Trung Hiếu và thắt chặt nghĩa tình đồng chí, đồng đội.

Trước đó, chiều 13/11, Thượng úy Trần Trung Hiếu khi làm nhiệm vụ tại đền Chợ Củi (xã Xuân Hồng, huyện Nghi Xuân) đã phát hiện Trần Trọng Gia Bảo (26 tuổi, trú xã Xuân Hồng) có dấu hiệu mua bán trái phép chất ma túy. Nam chiến sĩ công an đã áp sát, bắt quả tang song bất ngờ bị Bảo dùng kéo đâm nhiều nhát vào người gây thương tích nặng rồi hi sinh.",2023-11-21 08:39:42,10,6,1300,1,21,8
19,664417635894111,"Thời tiết ngày 21/11: Bắc Bộ ngày nắng, rét về đêm, vùng núi cao có nơi dưới 12 độ C",2023-11-21 07:09:25,14,18,1300,1,21,7
20,664202779248930,"Dự báo đêm nay và sáng sớm mai nhiệt độ xuống thấp, đỉnh Fansipan và một số nơi khác vùng núi cao tiếp tục có khả năng xuất hiện sương muối. Đây là hiện tượng gây hại cho cây trồng, rau màu, người dân cần có biện pháp bảo vệ.",2023-11-20 22:00:06,2,8,680,2,20,22
21,664196585916216,"Cùng một văn phòng làm việc nhưng không ai quen ai, không gian làm việc chung, người dùng trả tiền theo giờ hoặc theo tháng - Xu hướng chia sẻ văn phòng đang được ưa chuộng tại Anh.",2023-11-20 21:10:22,16,52,1900,2,20,21
22,664164065919468,"Mất cả 2 chân sau vụ tai nạn giao thông nghiêm trọng, cô giáo Đàm Thị Thanh Tâm từng sống trong những tháng ngày cùng cực nhất. Nhưng cô đã mạnh mẽ gượng dậy và bước tiếp.

Cô giáo Đàm Thị Thanh Tâm từng có 10 năm công tác tại điểm trường vùng cao đặc biệt khó khăn của tỉnh Bắc Kạn. Khi được chuyển về làm giáo viên dạy nhạc tại Trường tiểu học và THCS Dương Phong (H.Bạch Thông, Bắc Kạn), ngỡ tưởng như cuộc sống được gần gia đình sẽ bình an, yên ấm hơn. Thế nhưng!

Vào ngày định mệnh 30/3/2021, trên đường tan làm và đưa con trai nhỏ 5 tuổi từ trường về, 2 mẹ con cô giáo Tâm gặp tai nạn. Bằng tất cả tình yêu thương của một người mẹ, cô đã bảo vệ con thoát khỏi lưỡi hái tử thần, nhưng bản thân…",2023-11-20 20:00:15,48,72,3500,2,20,20
23,664148932587648,"Theo Trung tâm Dự báo Khí tượng Thủy văn Quốc gia, giữa tuần này, khoảng ngày 23-24/11, không khí lạnh sẽ tăng cường xuống nước ta. Đợt không khí lạnh lần này chủ yếu làm thay đổi thời tiết ở miền Bắc và miền Trung.

Từ ngày 23/11 đến ngày 26/11, dự báo miền Trung có thể xuất hiện mưa dông. Từ nay (20/11) đến ngày 22/11, dự báo trời vẫn nắng ráo, nhiệt độ từ 24-31 độ.

Ở miền Bắc, không khí lạnh tăng cường sẽ tiếp tục kéo dài thời tiết hanh khô. Nhiệt độ ban ngày trong tuần này dao động từ 24-28 độ, độ ẩm khoảng 40-60%. Trời rét về đêm và sáng, nhiệt độ thấp nhất từ 11-20 độ. Ngoài ra, thời tiết hanh khô khiến chất lượng không khí Hà Nội và một số tỉnh miền Bắc những ngày qua ở mức không tốt…",2023-11-20 19:01:14,86,55,4300,1,20,19
